PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.140,83.56,85.78,84.34,68.86,68.3,72.49,63.93,65,61.61
fig|645463.3.peg.141,135.72,132.92,136.19,102.28,104.58,114.74,98.78,95.35,87.62
fig|645463.3.peg.142,14.9,15.81,16.85,22.56,20.41,21.65,14.67,15.78,13.76
fig|645463.3.peg.143,250.82,265.68,252.36,122.71,115.71,142.37,198.59,197.23,188.55
fig|645463.3.peg.144,1.36,1.34,1.06,1.57,1.49,1.37,3.72,4.25,4.19
fig|645463.3.peg.145,6.34,7.93,8.07,7.53,8.54,7.39,4.78,5.54,5.66
fig|645463.3.peg.146,9.35,10.57,11.92,18.43,18.07,20.07,5.65,8.03,9.39
fig|645463.3.peg.147,3.99,4.85,5.02,5.51,7.23,6.77,3.98,6.68,5.89
fig|645463.3.peg.148,10.53,11.08,13.49,1.74,1.01,1.19,2.57,2.84,4.13
fig|645463.3.peg.149,6.44,6.72,6.12,1.87,1.25,2.05,2.02,2.92,3.27
fig|645463.3.peg.150,4.06,4.79,4.73,3.23,3.67,3.65,4.44,5.37,5.57
fig|645463.3.peg.151,1.45,1.43,2.27,2.51,3.03,2.95,3.08,3.2,4.33
fig|645463.3.peg.152,2.3,1.94,2.02,2.44,2.45,2.84,3.01,3.27,3.42
fig|645463.3.peg.153,0.69,1.14,0.94,1.5,1.35,1.3,0.97,1.2,0.84
fig|645463.3.peg.154,1.6,2.86,1.96,3.03,2.8,2.92,1.84,2.48,2.53
fig|645463.3.peg.156,1502.25,1587.02,1591.77,537.32,609.03,741.74,1191.94,1774.66,1711
fig|645463.3.peg.157,187.96,208.11,224.75,154.29,166.57,184.48,159.2,166.69,166.68
fig|645463.3.peg.158,256.48,274.95,301.73,219.09,230.09,254.24,218.38,234.13,238.33
fig|645463.3.peg.159,25.69,30.32,32.8,25.7,27.59,30.28,24.81,25.24,25.29
fig|645463.3.peg.160,68.87,74.02,80.4,64.21,63.86,70.99,78.48,82.77,81.85
fig|645463.3.peg.161,940.28,946.75,1063.04,2207.76,2334.62,2711.11,1328.55,1466.18,1384.79
fig|645463.3.peg.162,22.75,29.78,29.84,31.4,36.78,39.37,36.35,39.01,40.48
fig|645463.3.peg.163,39.33,48.72,51.28,57.9,64.16,62.86,59.08,64.23,68.47
fig|645463.3.peg.164,61.11,74.76,75.39,74.27,90.67,91.94,86.23,96.21,98.88
fig|645463.3.peg.165,57.25,59.29,66.01,71.23,76.74,84.76,103.95,106.15,112.13
