645463.3.peg.681	153.9	162.76	161.77
645463.3.peg.682	229.23	247.95	247.63
645463.3.peg.693	191.52	201.72	193.41
645463.3.peg.702	1055.21	1149.89	1162.15
645463.3.peg.703	157.55	142.44	154.81
645463.3.peg.704	167.97	166.74	176.58
645463.3.peg.706	180.34	168.88	181.35
645463.3.peg.707	180.64	181.99	190.62
645463.3.peg.713	576.54	634.96	670.33
645463.3.peg.717	23.56	22.17	23.9
645463.3.peg.721	14.69	18.8	21.15
645463.3.peg.726	1.36	2.42	2.24
645463.3.peg.735	23.3	26.39	25.61
645463.3.peg.744	196.03	220.18	219.6
645463.3.peg.745	865.47	1010.4	1001.39
645463.3.peg.750	37.83	45.81	47.82
645463.3.peg.753	181.32	277.42	278.33
645463.3.peg.754	9.29	9.21	9.33
645463.3.peg.769	618.56	574.94	566.49
645463.3.peg.770	320.72	321.29	316.63
645463.3.peg.773	87.43	100.4	100.33
645463.3.peg.783	179.78	194.94	193.47
645463.3.peg.789	0.98	1.26	0.95
645463.3.peg.790	2.05	2.09	2.09
645463.3.peg.806	103.52	111.58	114.88
645463.3.peg.807	167.41	173.07	177.13
645463.3.peg.817	1172.05	1345.37	1287.88
645463.3.peg.822	61.59	63.13	66.16
645463.3.peg.823	57.16	61.55	60.24
645463.3.peg.830	173.59	196.49	204.66
645463.3.peg.844	257.46	297.66	289.05
645463.3.peg.845	166.64	169.51	163.9
645463.3.peg.846	260.17	294.92	278.45
645463.3.peg.851	1.88	2.21	2.5
645463.3.peg.852	4.99	4.97	5.34
645463.3.peg.853	5.37	7.02	6.42
645463.3.peg.857	53.69	58.35	57.85
645463.3.peg.861	35.27	34.36	34.74
645463.3.peg.862	2184.39	2661.28	2580.54
645463.3.peg.865	20.65	24.64	23.52
645463.3.peg.872	54.22	70.28	74.13
645463.3.peg.873	49.37	58.37	57.35
645463.3.peg.874	73.44	79.7	80.16
645463.3.peg.875	60.63	66.34	66.94
645463.3.peg.878	43.89	45.57	45.66
645463.3.peg.880	115.64	125.85	125.68
645463.3.peg.881	118.04	138.31	134.63
645463.3.peg.898	13.87	14.12	13.6
645463.3.peg.904	1.3	1.84	2.21
645463.3.peg.905	2.8	3.11	3.27
645463.3.peg.906	3.89	4.29	3.61
645463.3.peg.907	6.85	9.43	10.24
645463.3.peg.909	1406.85	1407.03	1398.81
645463.3.peg.910	955.01	888.44	899.48
645463.3.peg.916	1.95	1.99	2.59
645463.3.peg.918	156.53	164.33	168.74
645463.3.peg.919	143.94	142.94	145.79
645463.3.peg.920	203.92	211.92	219.02
645463.3.peg.929	269.84	299.61	306.16
645463.3.peg.930	311.05	313.99	321.31
645463.3.peg.954	17.52	17.29	18.88
645463.3.peg.955	10.74	12.94	12.21
645463.3.peg.956	117.59	135.43	129.4
645463.3.peg.957	90.27	105.55	102.04
645463.3.peg.969	177.28	188.28	187.59
645463.3.peg.971	83.02	102.09	98.51
645463.3.peg.976	489.16	514.57	538.71
645463.3.peg.979	449.66	439.8	460.51
645463.3.peg.980	697.49	880.58	941.01
645463.3.peg.981	1171.71	1377.91	1427.6
645463.3.peg.994	37.51	42.35	43.21
645463.3.peg.998	105.02	116.12	122.33
645463.3.peg.1000	243.28	268.16	296.8
645463.3.peg.1001	301.84	357.02	385.15
645463.3.peg.1002	287.73	317.67	345.47
645463.3.peg.1007	173.15	233.36	234.43
645463.3.peg.1016	18.69	21.48	21.58
645463.3.peg.1017	19.85	21.29	21.16
645463.3.peg.1032	61.82	65.73	68.13
645463.3.peg.1037	72.98	68.23	65.93
645463.3.peg.1057	245.95	273.64	263.85
645463.3.peg.1070	34.75	36.03	39.35
645463.3.peg.1077	76.31	92.41	91.58
645463.3.peg.1079	355.51	404.49	401.2
645463.3.peg.1084	384.72	367.27	377.82
645463.3.peg.1086	510.69	500.15	510.13
645463.3.peg.1089	1046.88	1094.56	1075.42
645463.3.peg.1096	24.1	27.57	27.9
645463.3.peg.1110	38.91	34.77	38.78
645463.3.peg.1112	143.16	153.1	156.63
645463.3.peg.1125	48.13	47.04	50.97
645463.3.peg.1128	45.04	45.97	42.6
645463.3.peg.1129	92.13	101.17	99.27
645463.3.peg.1130	18.21	20.38	19.33
645463.3.peg.1176	4.25	4.9	5.09
645463.3.peg.1196	3272.63	3703.19	3698.67
645463.3.peg.1199	125.2	127.1	129.83
645463.3.peg.1218	39.25	43.36	43.65
645463.3.peg.1223	51.82	53.94	55.0
645463.3.peg.1233	166.88	189.26	191.07
645463.3.peg.1240	158.92	162.5	167.48
645463.3.peg.1245	227.94	259.56	256.66
645463.3.peg.1250	77.55	85.15	77.75
645463.3.peg.1252	503.24	551.07	550.4
645463.3.peg.1254	19.58	26.81	26.02
645463.3.peg.1256	30.56	37.66	36.61
645463.3.peg.1257	1115.69	1587.68	1540.5
645463.3.peg.1258	53.29	58.7	61.2
645463.3.peg.1262	235.85	244.2	247.74
645463.3.peg.1272	145.57	162.46	155.22
645463.3.peg.1304	25.17	28.42	29.64
645463.3.peg.1308	183.74	193.16	192.04
645463.3.peg.1309	224.73	241.09	242.75
645463.3.peg.1323	124.27	166.99	169.03
645463.3.peg.1324	10.36	13.02	12.28
645463.3.peg.1330	105.11	133.13	121.65
645463.3.peg.1332	105.5	119.63	117.01
645463.3.peg.1351	39.93	54.52	54.35
645463.3.peg.1372	52.5	54.32	54.49
645463.3.peg.1373	40.75	40.74	40.06
645463.3.peg.1374	23.18	23.96	23.67
645463.3.peg.1376	393.63	380.99	387.31
645463.3.peg.1377	579.72	592.32	601.24
