reaction	linear_coefficient
rxn02380_c	[0.0023879752786398808, 0.0018387972914599723, 0.0019343918359525662]
rxn08792_c	[0.01818008686345605, 0.014854365676572863, 0.015068308058164415]
rxn10131_c	[0.05451118066218988, 0.07234772352062865, 0.06877777586702467]
rxn05417_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn08799_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05234_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01157_c	[0.027365352805101193, 0.023616883206538996, 0.022675671227088363]
rxn01844_c	[0.015889614873413935, 0.01686377810958423, 0.019079087981171985]
rxn05938_c	[0.000253166433552079, 0.00024260881399793682, 0.00024861627355651474]
rxn00537_c	[0.029176291077536783, 0.02471207462094838, 0.026517922727507227]
rxn03419_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn11610_c	[0.0246928503860503, 0.02471207462094838, 0.024648387310743317]
rxn10256_c	[0.02875149604826584, 0.02263165473018152, 0.022629976931750898]
rxn04781_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00758_c	[0.08027485663880506, 0.07494196126543179, 0.09113063900769677]
rxn02975_c	[0.06639004622568191, 0.07234772352062865, 0.06808892208139972]
rxn00272_c	[0.0006477411453044184, 0.0009763525441380384, 0.000895215119407055]
rxn05555_c	[0.043225317555666685, 0.044409247537915024, 0.05288844450231297]
rxn09111_c	[0.003350463881873911, 0.0032905053166833995, 0.003290480600806283]
rxn06078_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03848_c	[0.0018029555470533197, 0.0018387972914599723, 0.0018999982803222185]
rxn05348_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn00907_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05458_c	[0.001953486939976177, 0.0018387972914599723, 0.0019343918359525662]
rxn08300_c	[0.02875149604826584, 0.02263165473018152, 0.022629976931750898]
rxn08297_c	[0.02875149604826584, 0.02263165473018152, 0.022629976931750898]
rxn00012_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
