reaction	linear_coefficient
rxn00655_c	0.003071142805540809
rxn00692_c	0.002242812655636859
rxn01492_c	0.00040937624851546383
rxn00802_c	0.0008756711198191739
rxn02160_c	0.0009577652873022215
rxn00926_c	0.0012527569957913056
rxn08884_c	0.0005390850331386789
rxn05413_c	0.03114105419856937
rxn10284_c	0.049858524384704214
rxn00913_c	0.002196292627396466
rxn08521_c	0.006417027424924884
rxn08809_c	0.003071142805540809
rxn00171_c	1.0
rxn03958_c	0.013645145224582277
rxn00259_c	0.0011438454002637957
rxn00345_c	0.005449410837524696
rxn00178_c	0.07353886064241423
rxn01362_c	0.007282299950196205
rxn03174_c	0.003071142805540809
rxn00549_c	0.0018317945237717342
rxn04779_c	0.010808518090818042
rxn07875_c	0.023104582496428903
rxn00506_c	0.00217549543830076
rxn00340_c	0.002090664798568278
rxn10060_c	0.0030708691583158656
rxn05127_c	0.023104582496428903
rxn00305_c	0.011129779932901701
rxn01445_c	0.002196292627396466
rxn00612_c	0.01335617375504195
rxn08841_c	0.003071142805540809
rxn12405_c	0.00015926268491711225
rxn02159_c	0.003560697690964716
rxn10222_c	0.002550939430923231
rxn01966_c	0.0010984199609231763
rxn10263_c	0.008357733544224128
rxn02791_c	0.0010934943108741933
rxn08845_c	0.003071142805540809
rxn01292_c	0.003128882370003886
rxn00300_c	0.12643322734064155
rxn02380_c	0.03798551858885599
rxn08792_c	0.0028377217226640103
rxn10131_c	0.0007634757575923422
rxn05417_c	0.03114105419856937
rxn08799_c	0.003071142805540809
rxn05234_c	0.01665252822671125
rxn01157_c	0.00160576191596841
rxn01844_c	0.003451238800987319
rxn05938_c	0.11103345610972158
rxn00537_c	0.0009046777256631841
rxn03419_c	0.003071142805540809
rxn11610_c	0.003272820810324162
rxn10256_c	0.003054450324819256
rxn04781_c	0.010808518090818042
rxn00758_c	0.0004920177104483983
rxn02975_c	0.0004405720321590219
rxn00272_c	0.04099016511873553
rxn05555_c	0.0018181121625245598
rxn09111_c	0.008357733544224128
rxn06078_c	0.004911420393285792
rxn03848_c	0.0068707345238811935
rxn05348_c	0.03114105419856937
rxn00907_c	0.006417027424924884
rxn05458_c	0.013849286054390123
rxn08300_c	0.003054450324819256
rxn08297_c	0.003054450324819256
rxn00012_c	0.010809612679717815
rxn01280_c	0.00012533042902411926
rxn07721_c	0.005765199735109486
rxn10322_c	0.0027999584056218082
rxn09320_c	0.015985923586748906
rxn09114_c	0.008357733544224128
rxn08822_c	0.003071142805540809
rxn02821_c	0.005987401281763602
rxn05345_c	0.03114105419856937
rxn04068_c	0.07118385262455054
rxn01522_c	0.0003322077310813991
rxn03891_c	0.0014640126534476814
rxn01465_c	0.010182960534597219
rxn05145_c	0.005380451736838937
rxn01301_c	0.01243781366813159
rxn01643_c	0.023104582496428903
rxn00295_c	0.007699338321010087
rxn00499_c	0.0028377217226640103
rxn08844_c	0.003071142805540809
rxn00707_c	0.003787824887667814
rxn06937_c	0.010105792017163153
rxn01637_c	0.00019647870750942714
rxn02489_c	0.00040937624851546383
rxn03095_c	0.07118385262455054
rxn00566_c	0.0008882588921665745
rxn00708_c	0.002196292627396466
rxn02639_c	0.0011493183447626658
rxn03762_c	0.011423129758041124
rxn01269_c	0.0003907682372193063
rxn00392_c	0.007716304448956583
rxn00747_c	0.07554031644565092
rxn01334_c	0.14441458649167838
rxn05219_c	0.003071142805540809
rxn00029_c	0.017891602861255386
rxn06673_c	0.006026806482155465
rxn07734_c	0.005765199735109486
rxn02175_c	0.0034950223569782776
rxn02835_c	0.0003097686586360328
rxn03884_c	0.0002654378081951871
rxn04385_c	0.000836813213877198
rxn03861_c	0.04400521024316292
rxn00146_c	0.13365587219580005
rxn08839_c	0.003071142805540809
rxn03536_c	0.0005522200999359665
rxn02009_c	0.0013945062583120345
rxn09562_c	0.006084272399393598
rxn05359_c	0.03114105419856937
rxn10277_c	0.049858524384704214
rxn00555_c	0.04489127995752995
rxn03282_c	1.0
rxn03080_c	0.14906056907676898
rxn01044_c	0.03798551858885599
rxn00143_c	0.00160576191596841
rxn00147_c	0.00942769419375318
rxn01505_c	0.0018843347909608848
rxn00737_c	0.009165540152257316
rxn08843_c	0.003071142805540809
rxn04723_c	0.023104582496428903
rxn00213_c	0.0068384441513378615
rxn01740_c	0.0005773956446307678
rxn02762_c	0.003451238800987319
rxn05655_c	0.045989152624003236
rxn02314_c	0.003071142805540809
rxn04043_c	0.009642233618108878
rxn00139_c	0.0095404368504299
rxn07261_c	0.004997892916367935
rxn00790_c	0.007282299950196205
rxn10285_c	0.049858524384704214
rxn03910_c	0.003901662133244307
rxn00422_c	0.04099016511873553
rxn07100_c	0.004997892916367935
rxn03540_c	0.002595270281364077
rxn08311_c	0.002550939430923231
rxn03175_c	0.0006928747735569213
rxn10264_c	0.008357733544224128
rxn03421_c	0.003071142805540809
rxn01023_c	0.00027255263604371787
rxn04712_c	0.003624731141601493
rxn05371_c	0.03114105419856937
rxn04794_c	0.04594701095136194
rxn07584_c	0.0013824657804145208
rxn01717_c	0.002159623899254038
rxn00182_c	0.110184055123497
rxn01119_c	0.0307234685333056
rxn00532_c	0.023104582496428903
rxn05172_c	0.012841716972148184
rxn00132_c	0.002196292627396466
rxn07622_c	0.003272820810324162
rxn02819_c	0.059965410990767146
rxn01479_c	0.0015576000043783557
rxn08615_c	0.0039717158228298405
rxn08815_c	0.003071142805540809
rxn00126_c	0.013866252182336619
rxn06905_c	0.003272820810324162
rxn02584_c	0.004873109781793703
rxn08306_c	0.002550939430923231
rxn08821_c	0.003071142805540809
rxn01871_c	0.0010425959270347039
rxn00405_c	0.002374710618059622
rxn14301_c	0.012085356042404374
rxn00299_c	0.003071142805540809
rxn01132_c	0.0010984199609231763
rxn04737_c	0.023104582496428903
rxn05735_c	0.00217549543830076
rxn03921_c	0.023104582496428903
rxn02484_c	0.0021016106875660174
rxn05671_c	0.00017458692951394778
rxn03618_c	0.023104582496428903
rxn01133_c	0.0018547808906669877
rxn10321_c	0.0027999584056218082
rxn01000_c	0.003071142805540809
rxn00363_c	0.002196292627396466
rxn01281_c	0.00012533042902411926
rxn01670_c	0.002196292627396466
rxn03642_c	0.0025963648702638504
rxn02522_c	0.003451238800987319
rxn05183_c	0.0030385787857725335
rxn01300_c	0.0193835275316473
rxn03886_c	0.0002254853133534373
rxn00786_c	0.14441458649167838
rxn14054_c	1.0
rxn03908_c	0.0035459207408177667
rxn01100_c	0.003071142805540809
rxn00838_c	0.0215951444036406
rxn02283_c	0.017286842494130268
rxn05396_c	0.03114105419856937
rxn00831_c	0.002196292627396466
rxn03721_c	0.0009046777256631841
rxn00748_c	0.014332547053640328
rxn01255_c	0.0015816809601733827
rxn05872_c	1.0
rxn04727_c	0.023104582496428903
rxn00776_c	0.0018093554513263681
rxn05485_c	0.045989152624003236
rxn14089_c	1.0
rxn00214_c	0.007699338321010087
rxn10114_c	0.0025569596698719874
rxn01211_c	0.003071142805540809
rxn05496_c	0.005715395940169771
rxn00109_c	0.0025679055588697275
rxn00527_c	0.0008099957858327359
rxn01215_c	0.03307792925671941
