645463.3.peg.441	4.84	6.36	6.34
645463.3.peg.462	618.71	592.22	684.79
645463.3.peg.463	2.78	2.72	3.07
645463.3.peg.464	3.04	1.63	2.85
645463.3.peg.465	7.25	8.27	8.45
645463.3.peg.466	4.77	4.79	5.61
645463.3.peg.467	4.32	3.59	4.47
645463.3.peg.500	107.6	118.17	124.4
645463.3.peg.515	49.52	59.02	55.19
645463.3.peg.530	2191.37	2200.38	1795.55
645463.3.peg.549	161.55	171.26	173.52
645463.3.peg.558	4.08	4.54	4.22
645463.3.peg.560	417.86	488.52	469.65
645463.3.peg.658	3.29	3.48	3.39
645463.3.peg.664	8.53	9.33	9.17
645463.3.peg.671	14.28	15.37	15.01
645463.3.peg.672	2.07	2.13	2.74
645463.3.peg.681	173.99	199.63	191.39
645463.3.peg.682	230.46	263.79	285.89
645463.3.peg.693	210.58	240.11	260.58
645463.3.peg.702	727.11	796.7	857.63
645463.3.peg.703	92.11	97.79	117.13
645463.3.peg.704	109.51	116.25	133.41
645463.3.peg.706	98.73	104.76	123.86
645463.3.peg.707	94.68	106.13	122.55
645463.3.peg.713	340.56	315.14	351.47
645463.3.peg.717	24.26	23.84	27.82
645463.3.peg.721	14.67	16.5	16.69
645463.3.peg.726	0.88	1.05	0.98
645463.3.peg.735	28.93	33.39	30.71
645463.3.peg.744	139.42	166.82	140.82
645463.3.peg.745	838.53	942.06	782.66
645463.3.peg.750	10.58	12.77	14.26
645463.3.peg.753	56.34	70.11	64.97
645463.3.peg.754	3.14	3.12	2.72
645463.3.peg.769	480.27	491.48	493.71
645463.3.peg.770	281.48	310.36	304.78
645463.3.peg.773	81.86	89.17	92.9
645463.3.peg.783	135.46	151.23	156.48
645463.3.peg.789	0.54	0.86	0.62
645463.3.peg.790	1.59	1.14	1.52
645463.3.peg.806	65.15	77.27	69.99
645463.3.peg.807	103.48	113.22	108.4
645463.3.peg.817	2917.82	3068.47	2106.52
645463.3.peg.822	66.59	78.55	91.63
645463.3.peg.823	78.17	89.19	108.92
645463.3.peg.830	205.14	225.11	231.16
645463.3.peg.844	106.9	108.48	127.02
645463.3.peg.845	76.17	77.26	88.31
645463.3.peg.846	151.14	161.03	171.96
645463.3.peg.851	0.87	0.96	1.08
645463.3.peg.852	3.1	3.36	3.48
645463.3.peg.853	3.81	4.65	4.62
645463.3.peg.857	64.27	71.26	67.56
645463.3.peg.861	29.79	33.8	32.89
645463.3.peg.862	1031.8	1204.87	1658.2
645463.3.peg.865	14.5	16.97	19.81
645463.3.peg.872	50.87	49.38	55.83
645463.3.peg.873	40.09	43.22	44.69
645463.3.peg.874	65.66	71.57	72.44
645463.3.peg.875	54.27	61.74	66.26
645463.3.peg.878	36.87	43.71	42.39
645463.3.peg.880	84.3	92.42	122.76
645463.3.peg.881	86.89	94.37	127.61
645463.3.peg.898	13.73	13.76	14.32
645463.3.peg.904	0.64	0.99	0.72
645463.3.peg.905	1.45	1.56	1.88
645463.3.peg.906	1.71	1.3	1.43
645463.3.peg.907	2.71	2.94	2.65
645463.3.peg.909	747.96	833.09	741.06
645463.3.peg.910	459.95	488.2	494.14
645463.3.peg.916	1.74	2.18	2.53
645463.3.peg.918	49.07	51.27	53.42
645463.3.peg.919	51.73	49.62	58.71
645463.3.peg.920	77.65	79.51	89.55
645463.3.peg.929	103.25	108.58	106.5
645463.3.peg.930	140.46	152.73	133.82
645463.3.peg.954	5.51	7.05	7.38
645463.3.peg.955	5.31	4.92	6.22
645463.3.peg.956	100.81	107.0	122.09
645463.3.peg.957	80.02	87.7	95.4
645463.3.peg.969	206.14	207.27	206.41
645463.3.peg.971	44.35	56.06	55.11
645463.3.peg.976	409.7	451.21	506.11
645463.3.peg.979	477.91	414.9	554.87
645463.3.peg.980	763.2	803.05	996.77
645463.3.peg.981	1313.7	1342.68	1641.2
