reaction	linear_coefficient
rxn03482_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00789_c	[1.0, 0.14622394194300475, 0.1548478502635199]
rxn05158_c	[0.03693799646520062, 0.04281977046470772, 0.04572175748460191]
rxn08976_c	[0.0004909775410626259, 0.0004920177104483983, 0.0005108157470466123]
rxn00781_c	[0.00014454569943692878, 0.00013846549582140688, 0.00012743621362378796]
rxn05298_c	[0.0015027974371211274, 0.0015679985989262082, 0.001432318787578289]
rxn05408_c	[0.0025707631833741386, 0.0027999584056218082, 0.002704003692437518]
rxn00292_c	[0.06225619112525243, 0.06354362210412824, 0.06964281985284866]
rxn02264_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03185_c	[0.02258616148143812, 0.024311366758429702, 0.022604399976226187]
rxn02687_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn03903_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00097_c	[0.0001666456617475336, 0.00016966127946496494, 0.00015474397368602823]
rxn01217_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02212_c	[0.032743781996415026, 0.03114105419856937, 0.03566179285618288]
rxn00695_c	[0.00298110572681699, 0.014155770946326831, 0.01400620368055061]
rxn07670_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00655_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00692_c	[0.0204741218400787, 0.017559942424623873, 0.021456403161060636]
rxn01492_c	[0.06168875966052068, 0.0631544957502586, 0.07913521142899367]
rxn00802_c	[0.037015047685148406, 0.04365767826748469, 0.03960481923066008]
rxn02160_c	[0.033530421195416826, 0.03246660135619565, 0.0402061253983051]
rxn00926_c	[0.033365567422505286, 0.03114105419856937, 0.03566179285618288]
rxn08884_c	[0.05441369098638105, 0.05677523164237592, 0.05697362552279636]
rxn05413_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn10284_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn00913_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn08521_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn08809_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00171_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn03958_c	[0.002808487102282807, 0.0026259187705577475, 0.003117368217301233]
rxn00259_c	[0.03340498897689718, 0.03188756382821522, 0.03566179285618288]
rxn00345_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00178_c	[0.0003249291755937573, 0.0003814642315712276, 0.0003823086408713639]
rxn01362_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03174_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00549_c	[0.023501219380352892, 0.02500807259313583, 0.026846740818836572]
rxn04779_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn07875_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn00506_c	[0.021313323111603017, 0.017891602861255386, 0.022604399976226187]
rxn00340_c	[0.02258616148143812, 0.024311366758429702, 0.01883325185625838]
rxn10060_c	[0.014104554324395191, 0.003071142805540809, 0.014042614027300265]
rxn05127_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn00305_c	[0.00298110572681699, 0.003071142805540809, 0.003117368217301233]
rxn01445_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn00612_c	[0.002808487102282807, 0.0029121537678486404, 0.003117368217301233]
rxn08841_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn12405_c	[0.14905887011852148, 0.14834799170301613, 0.22639471707286513]
rxn02159_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10222_c	[0.01551417354204458, 0.014821828291839291, 0.014288919314136159]
rxn01966_c	[0.03340498897689718, 0.03235878434956791, 0.03960481923066008]
rxn10263_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02791_c	[0.03340498897689718, 0.03235878434956791, 0.03960481923066008]
rxn08845_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01292_c	[0.00298110572681699, 0.003071142805540809, 0.012759684750650703]
rxn00300_c	[0.0002281671784500281, 0.00026379592484552616, 0.00022702922090960545]
rxn02380_c	[0.0008744417519655528, 0.0008882588921665745, 0.0009091877761898822]
rxn08792_c	[0.013825019665979975, 0.013849286054390123, 0.016365915417693607]
rxn10131_c	[0.05441369098638105, 0.04666943962521276, 0.04572175748460191]
rxn05417_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn08799_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05234_c	[0.002261961007304336, 0.002446953485444704, 0.0023233013903933442]
rxn01157_c	[0.026417817109074065, 0.026791157910867624, 0.02715301608855425]
rxn01844_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05938_c	[0.00030342650956181747, 0.00027200534159383093, 0.0002698649229680216]
rxn00537_c	[0.03864208274823185, 0.03682142329394637, 0.0402061253983051]
rxn03419_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn11610_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10256_c	[0.012123919864342069, 0.012085356042404374, 0.013190183556337784]
rxn04781_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00758_c	[0.05790488773517794, 0.0575365182221687, 0.059107378931581224]
rxn02975_c	[0.06225619112525243, 0.06354362210412824, 0.06964281985284866]
