	minimum	maximum
rxn01332_c	0.022919649055559623	0.07052199709402994
rxn00785_c	0.6158079575813294	1.894793715635817
rxn03909_c	39.089461464257575	120.27526604386887
rxn03084_c	0.01145982452778	0.03526099854701519
rxn02005_c	7.00768269873747	21.562100611499798
rxn08808_c	0.02291964905556	0.07052199709403038
rxn00558_c	49.0691421229202	478.76632396893285
rxn05201_c	-2.3238196916432026	-0.7552413997842171
rxn10280_c	0.005729912263890001	0.017630499273507603
rxn05616_c	-0.0352609985470152	-0.01145982452778
rxn00077_c	0.28305766583597597	0.870946664111075
rxn00134_c	1.1600519085468337	3.5693904878368135
rxn09109_c	0.002864956131945	0.008815249636753801
rxn01200_c	0.59288830852577	1.8242717185410569
rxn00763_c	-0.008815249636753803	-0.002864956131945
rxn00122_c	0.0011459824527780002	0.0035260998547020366
